list_name,name,label::English,parent_id
os*optsetid1*,*optcode1*,Animal,
os*optsetid1*,*optcode2*,Vertebrate,*optcode1*
os*optsetid1*,*optcode3*,Cat,*optcode2*
os*optsetid1*,*optcode4*,Dog,*optcode2*
os*optsetid1*,*optcode5*,Invertebrate,*optcode1*
os*optsetid1*,*optcode6*,Lobster,*optcode5*
os*optsetid1*,*optcode7*,Jellyfish,*optcode5*
os*optsetid1*,*optcode8*,Plant,
os*optsetid1*,*optcode9*,Tree,*optcode8*
os*optsetid1*,*optcode10*,Oak,*optcode9*
os*optsetid1*,*optcode11*,Pine,*optcode9*
os*optsetid1*,*optcode12*,Flower,*optcode8*
os*optsetid1*,*optcode13*,Tulip,*optcode12*
os*optsetid1*,*optcode14*,Daisy,*optcode12*
os*optsetid2*,*optcode15*,"Cat, Large",
os*optsetid2*,*optcode16*,Dog,
os*optsetid3*,*optcode17*,Animal,
os*optsetid3*,*optcode18*,Cat,*optcode17*
os*optsetid3*,*optcode19*,Dog,*optcode17*
os*optsetid3*,*optcode20*,Plant,
os*optsetid3*,*optcode21*,Tulip,*optcode20*
os*optsetid3*,*optcode22*,Oak,*optcode20*
